Model,Method,Num_Features,Test_Accuracy,CV_Accuracy,Precision,Recall,F1_Score
XGBoost,Info Gain,15,0.768361581920904,0.7719687707269516,0.7647929315201725,0.768361581920904,0.7646483158276745
Random Forest,Info Gain,20,0.7649717514124293,0.7722524552697401,0.7598718576439281,0.7649717514124293,0.759997932162582
AdaBoost,Info Gain,20,0.7570621468926554,0.7589708244432192,0.7627918386113757,0.7570621468926554,0.7585582503830633
XGBoost,Info Gain,20,0.7751412429378531,0.769146708859748,0.7679373314475205,0.7751412429378531,0.769593723604243
Random Forest,Info Gain,25,0.768361581920904,0.7750809100280488,0.761621199178077,0.768361581920904,0.7615489471197389
AdaBoost,Info Gain,25,0.7457627118644068,0.752759331623235,0.7450752766389078,0.7457627118644068,0.7451220392372437
XGBoost,Info Gain,25,0.7740112994350282,0.7722532543811281,0.7654035482345509,0.7740112994350282,0.7667673043188283
Random Forest,Info Gain,30,0.7751412429378531,0.7801644571236783,0.7704315406512107,0.7751412429378531,0.7695990923066339
AdaBoost,Info Gain,30,0.7480225988700565,0.7623666482871048,0.7425081059116512,0.7480225988700565,0.7443741780124108
XGBoost,Info Gain,30,0.768361581920904,0.7688638234283477,0.7606728753024351,0.768361581920904,0.7629634953024783
Random Forest,Gain Ratio,5,0.7028248587570621,0.7219547862776592,0.6888685915779486,0.7028248587570621,0.694879704530633
AdaBoost,Gain Ratio,5,0.7322033898305085,0.7309967316344225,0.7219671332042603,0.7322033898305085,0.7240713488377917
XGBoost,Gain Ratio,5,0.735593220338983,0.7194136120633855,0.7126485190891971,0.735593220338983,0.7200239412540714
Random Forest,Gain Ratio,10,0.7423728813559322,0.7431484189581186,0.7328057259412774,0.7423728813559322,0.7366623622838164
AdaBoost,Gain Ratio,10,0.7378531073446327,0.7434317039452129,0.730269768358169,0.7378531073446327,0.7335967753120378
XGBoost,Gain Ratio,10,0.727683615819209,0.7411698191610927,0.7118762623841833,0.727683615819209,0.7183914186693934
Random Forest,Gain Ratio,15,0.7740112994350282,0.7649082220570727,0.766695067494029,0.7740112994350282,0.7681537003892744
AdaBoost,Gain Ratio,15,0.7615819209039548,0.7567129352160398,0.7523384814065112,0.7615819209039548,0.7558494992993867
XGBoost,Gain Ratio,15,0.7694915254237288,0.7677330808141348,0.7658730155718352,0.7694915254237288,0.7657700936990913
Random Forest,Gain Ratio,20,0.7672316384180791,0.7691455101926657,0.7645230882129427,0.7672316384180791,0.7637719066273245
AdaBoost,Gain Ratio,20,0.7604519774011299,0.7651907079327788,0.7487185669421562,0.7604519774011299,0.7525738703899387
XGBoost,Gain Ratio,20,0.7706214689265537,0.7682984521212411,0.7643788261716411,0.7706214689265537,0.7651455605802605
Random Forest,Gain Ratio,25,0.7740112994350282,0.7722548526039045,0.7658494653546981,0.7740112994350282,0.7675253911298088
AdaBoost,Gain Ratio,25,0.7570621468926554,0.7589720231103013,0.7522454137863379,0.7570621468926554,0.7533941653300966
XGBoost,Gain Ratio,25,0.7638418079096045,0.7728210230223991,0.7523852610783629,0.7638418079096045,0.7563374015875384
Random Forest,Gain Ratio,30,0.7717514124293785,0.7793189972750301,0.7650667453240457,0.7717514124293785,0.765405983762678
AdaBoost,Gain Ratio,30,0.7536723163841808,0.7615135968802691,0.7536160403479354,0.7536723163841808,0.7518737891153825
XGBoost,Gain Ratio,30,0.7762711864406779,0.7708412245582912,0.7682625100477413,0.7762711864406779,0.7700817871486619
Random Forest,Gini Index,5,0.7163841807909604,0.7140407866452506,0.714286894564642,0.7163841807909604,0.7152792312932195
AdaBoost,Gini Index,5,0.7423728813559322,0.7468207353422993,0.7284927597434621,0.7423728813559322,0.7320857289027813
XGBoost,Gini Index,5,0.7310734463276836,0.7372146173455117,0.7110607520262384,0.7310734463276836,0.7169086153583467
Random Forest,Gini Index,10,0.7559322033898305,0.7564292506732513,0.7496378438381001,0.7559322033898305,0.7506116442125519
AdaBoost,Gini Index,10,0.7491525423728813,0.7507763367135745,0.7464127616079042,0.7491525423728813,0.7465557353417995
XGBoost,Gini Index,10,0.7491525423728813,0.7589724226659955,0.7412294008047984,0.7491525423728813,0.7434843321737515
Random Forest,Gini Index,15,0.7661016949152543,0.7654707964743206,0.7595827741245382,0.7661016949152543,0.7600468431975083
AdaBoost,Gini Index,15,0.7604519774011299,0.7603872493786908,0.753708370362755,0.7604519774011299,0.7554837721539441
XGBoost,Gini Index,15,0.7740112994350282,0.7711225117669152,0.7661589233829151,0.7740112994350282,0.7674883944495186
Random Forest,Gini Index,20,0.7717514124293785,0.7694271969569838,0.7646597848681591,0.7717514124293785,0.7653096562793842
AdaBoost,Gini Index,20,0.7638418079096045,0.7620833633000104,0.7572840525356855,0.7638418079096045,0.7588827437522463
XGBoost,Gini Index,20,0.7728813559322034,0.7685813375526416,0.7649949869889114,0.7728813559322034,0.7666376617296177
Random Forest,Gini Index,25,0.7661016949152543,0.7773411965893925,0.7637501218151015,0.7661016949152543,0.7621113916172714
AdaBoost,Gini Index,25,0.7581920903954802,0.764055570205931,0.7524067793077938,0.7581920903954802,0.7546912664658117
XGBoost,Gini Index,25,0.7694915254237288,0.7697112810554663,0.7607892404463789,0.7694915254237288,0.7632469958079263
Random Forest,Gini Index,30,0.7762711864406779,0.7725369389239165,0.7714080759165505,0.7762711864406779,0.7710713509491129
AdaBoost,Gini Index,30,0.7536723163841808,0.7564320475631099,0.7528268670959204,0.7536723163841808,0.7519992204071715
XGBoost,Gini Index,30,0.7740112994350282,0.7722500579355758,0.7662608677767094,0.7740112994350282,0.7678826084631187
