Model,Accuracy,Precision,Recall,F1_Score,ROC_AUC
Decision Tree,0.6451977401129944,0.6887258288577293,0.6451977401129944,0.6613559157577739,0.815971548120254
Naive Bayes,0.6666666666666666,0.6467173314890587,0.6666666666666666,0.6527452558969077,0.8133497133726224
Random Forest,0.7581920903954802,0.7756579777674198,0.7581920903954802,0.7641243596301456,0.9062465114647422
AdaBoost,0.7491525423728813,0.742885127663135,0.7491525423728813,0.7452429125707318,0.8876793926501777
XGBoost,0.7740112994350282,0.7657175546288926,0.7740112994350282,0.7678182463949803,0.9057181883284607
Neural Network,0.7412429378531074,0.7406805758104286,0.7412429378531074,0.7378058576350252,0.8730131802651568
