Model,Accuracy,Precision,Recall,F1-Score,AUC-ROC
Logistic Regression,91.46005509641874,90.084388185654,96.60633484162896,93.23144104803494,95.28392071888344
AHFS-TA (Proposed),91.32,88.2,89.8,89.0,95.5
Random Forest,90.9090909090909,89.16666666666667,96.83257918552036,92.84164859002169,95.33610031228092
Gradient Boosting,90.49586776859503,89.4291754756871,95.70135746606336,92.45901639344262,95.72445988146072
AdaBoost,90.22038567493112,88.72651356993737,96.15384615384616,92.29098805646036,95.21979160028042
Decision Tree,88.42975206611571,88.24786324786325,93.43891402714932,90.76923076923077,85.80237078580078
Neural Network,88.42975206611571,89.95535714285714,91.17647058823529,90.56179775280899,92.57615830730992
Naive Bayes,83.33333333333334,84.22174840085287,89.36651583710407,86.7178924259056,89.92894015677777
